epoch,acc,fmeasure,loss,precision,recall,top_k_categorical_accuracy,val_acc,val_fmeasure,val_loss,val_precision,val_recall,val_top_k_categorical_accuracy
0,0.347797283928,0.26274739387,2.04804263576,0.426915529588,0.195760185541,0.81450811527,0.480211081794,0.478375876327,3.49389585153,0.482213653722,0.474934037018,0.854881266491
1,0.438224577635,0.368305145075,1.75851471016,0.507910058036,0.293474660543,0.887048691718,0.501319261371,0.487367078623,1.73807215172,0.523447450988,0.457783641161,0.949868073879
2,0.452467704617,0.377975796204,1.68893629465,0.50982808508,0.305067903338,0.906922822324,0.476253298153,0.44890279199,1.81707941511,0.538525712207,0.389182058126,0.895778364431
3,0.479297780781,0.398627452826,1.5565596813,0.551339617122,0.316661146104,0.9294468368,0.482849604379,0.441756920167,1.5029209923,0.586890509229,0.361477572717,0.926121372032
4,0.501821795375,0.428249408331,1.47210259475,0.578583795115,0.34514739986,0.938058959921,0.436675461741,0.430657293205,3.93502206224,0.475874266083,0.395778364116,0.856200527704
5,0.534945346102,0.466904941617,1.3801591163,0.599994749986,0.386220602888,0.960251739085,0.572559366833,0.490532618478,1.30877503399,0.655064143181,0.395778364155,0.970976253298
6,0.543888704948,0.493205917912,1.31941034052,0.628528097581,0.410400795015,0.96124544561,0.600263852557,0.531191819891,1.20544258971,0.662136759796,0.449868073721,0.982849604222
7,0.578337197827,0.534518892854,1.23148946558,0.652049973592,0.457105001706,0.967870155681,0.625329815461,0.593062535754,1.0735263101,0.670081818167,0.536939314141,0.984168865435
8,0.597880092825,0.558431355023,1.18485010646,0.675100012227,0.480622722716,0.970520039748,0.64379947261,0.587614833365,0.98810229767,0.728619960965,0.49736147773,0.97889182058
9,0.611129513123,0.579997515118,1.11807137426,0.687625550481,0.505796621427,0.977807221033,0.608179419525,0.582255050972,1.34197904441,0.646551698368,0.532981530343,0.988126649391
10,0.621066578298,0.594796169866,1.08829750257,0.69455486613,0.52467704534,0.978138456443,0.638522427598,0.618402361555,1.04857588978,0.669422056241,0.577836411609,0.996042216359
11,0.639284531499,0.619775223195,1.01881154239,0.714153689989,0.552500828049,0.981450811527,0.522427440633,0.518494713354,1.79060187267,0.550524769169,0.492084432796,0.976253298153
12,0.661808545955,0.639304663457,0.980411592838,0.726295150898,0.575356078132,0.983106989168,0.654353562163,0.61290088005,1.29818626979,0.665348380568,0.569920844484,0.963060686016
13,0.699900629308,0.685457104166,0.854427908619,0.766256750439,0.624047697874,0.98940046373,0.781002638522,0.776499772135,0.715715647078,0.805882071442,0.750659630607,0.993403693931
14,0.737661477389,0.727061049182,0.774241093868,0.791822515149,0.675389201782,0.98940046373,0.796833773087,0.797838204769,0.700011515995,0.818775069745,0.779683377309,0.98416886575
15,0.765485260099,0.758042784825,0.697249202943,0.8178902438,0.709837694561,0.992381583306,0.806068601898,0.804650395401,0.590540541587,0.830391335141,0.782321899579,0.993403693931
16,0.764160318184,0.75962213358,0.689733845029,0.813730986061,0.714806227307,0.993375289831,0.799472295515,0.783978542741,0.667194867561,0.819838302431,0.753298153034,0.996042216359
17,0.763829082675,0.757277951627,0.691532878715,0.807514749998,0.715468698225,0.995031467373,0.852242744221,0.847833796667,0.497893644669,0.863073254795,0.833773087229,0.997361477573
18,0.770122557217,0.759637266743,0.688328220419,0.810689878527,0.717456111374,0.993044054323,0.848284960422,0.837550948352,0.507725627675,0.868856740816,0.810026385224,0.998680738786
19,0.77608479629,0.767851252238,0.662120927279,0.816818781111,0.726730705532,0.994368996356,0.841688654668,0.834421934742,0.528400944846,0.859219850368,0.812664907494,0.998680738786
20,0.785359390487,0.779213156575,0.624469728413,0.824900417977,0.740642596847,0.996025173899,0.795514512188,0.79629014916,0.608159305395,0.822422612468,0.773087071083,0.992084432718
21,0.811858231301,0.80933894948,0.566577004612,0.850491158928,0.774428618728,0.994368996356,0.848284960737,0.847661652634,0.478863625932,0.876923079069,0.821899736305,0.997361477573
22,0.816495528518,0.81568998898,0.55068102788,0.85346658327,0.783371977436,0.99569393839,0.848284960737,0.842031878343,0.45124136914,0.856879006432,0.828496042059,1.0
23,0.815833057402,0.810650096306,0.561220671729,0.848266255761,0.778403444948,0.996356409407,0.845646437995,0.845647458351,0.498333758407,0.860463726175,0.832453825858,1.0
24,0.817157999298,0.818565801798,0.52728593847,0.852751887883,0.78900298108,0.995362702882,0.885224274721,0.885968227814,0.460084792217,0.894066708541,0.87862796818,0.996042216359
25,0.827426300178,0.825750526173,0.519726451717,0.859769448712,0.796290162384,0.996687644916,0.885224274721,0.888115241848,0.36463880653,0.901444906767,0.875989445753,1.0
26,0.84200066253,0.83774190535,0.490947773655,0.871270257201,0.808545876177,0.99569393839,0.893139841689,0.895416180817,0.406724688324,0.909523810434,0.882585751822,0.994722955145
27,0.834713481344,0.832574435933,0.506557810105,0.865956635576,0.803246108042,0.996687644916,0.832453826015,0.833483640311,0.617684875283,0.846061065046,0.821899736305,0.994722955145
28,0.840013249499,0.839909057796,0.454930425707,0.86970772667,0.813845644332,0.99569393839,0.839050132241,0.84440088335,0.66047428796,0.854403822749,0.835092348128,0.994722955145
29,0.842663133547,0.840548081779,0.488931862022,0.871890372533,0.813183173295,0.995031467373,0.898416886858,0.897472066426,0.378645886257,0.906495791155,0.88918205789,0.996042216359
30,0.873799271381,0.873301053253,0.391932076435,0.89723424615,0.851937727823,0.997681351441,0.910290237624,0.914072061592,0.35304317244,0.923922604338,0.905013192769,0.996042216359
31,0.888042398244,0.889817895361,0.324797365653,0.915143651455,0.867505796602,0.999006293475,0.90633245414,0.906496956984,0.349358893754,0.909574066901,0.903693931241,0.993403693931
32,0.889698575786,0.891246510286,0.346970165341,0.913113892671,0.871480622821,0.999006293475,0.939313984169,0.934207116079,0.281913259482,0.940017590737,0.928759894459,0.997361477573
33,0.902285525008,0.90509140069,0.286329134524,0.923185880471,0.888704869162,0.998675057966,0.905013192612,0.906630300909,0.390686255253,0.909762533485,0.903693931398,0.993403693931
34,0.903941702551,0.904095109862,0.299384851378,0.922341411498,0.887711162637,0.999006293475,0.940633245383,0.939696954863,0.2593661091,0.942919965155,0.936675461741,0.997361477573
