epoch,acc,loss
0,0.90601006089489011,0.30120024137911039
1,0.90309769658459094,0.31066309159825267
2,0.91633571617685994,0.26603956487811936
3,0.91633571617685994,0.27201057585074151
4,0.84590945194598888,0.49900105389647298
5,0.448768864177919,1.7493872134370529
6,0.5009266613714588,1.4563893460394184
7,0.52263701350278002,1.3597159702562611
8,0.55123113582208105,1.2551513859478922
9,0.5785014561821552,1.1835091134875042
10,0.59782896478686787,1.1414092901935331
11,0.61344982790574532,1.0995979373468303
12,0.60921366163621926,1.0925734790507087
13,0.62033359809372512,1.0755403622578528
14,0.63383637807783955,1.0384419231715265
15,0.64257347100873707,1.0150534865999461
16,0.65078104315594387,0.99164160461945916
17,0.65316388668255232,0.97221067218765367
18,0.66216574000529516,0.95591159756296618
19,0.65687053216838764,0.96550265521892076
20,0.6677257082340482,0.95369894112548348
21,0.66428382314005829,0.96354269152884453
22,0.67381519724649197,0.92981836421482777
23,0.68149324861000793,0.92219690551257871
24,0.66587238549113048,0.9298866252151784
25,0.66957903097696581,0.94473722510025993
26,0.67699232194863646,0.92688065036630263
27,0.68228752978554408,0.91898808007143085
28,0.68652369605507013,0.90044326500694427
29,0.69102462271644161,0.89299103618457198
30,0.67407995763833728,0.93021793437439648
31,0.68228752978554408,0.91889952024139676
32,0.66957903097696581,0.92724557632424065
33,0.68069896743447178,0.90748651311105288
34,0.69049510193275088,0.91364070527730934
35,0.67858088429970875,0.89515674881181417
36,0.68387609213661638,0.90164100217983334
37,0.67487423881387343,0.91997177019490428
38,0.68202276939369866,0.91747665607269591
39,0.68387609213661638,0.89214116142387578
40,0.67196187450357425,0.92536124818249921
41,0.69393698702674078,0.89442336259457622
42,0.68467037331215252,0.90892467026613299
43,0.6926131850675139,0.89771728386852456
44,0.67725708234048188,0.89886721655398982
45,0.68519989409584325,0.9142252603535429
46,0.69023034154090546,0.901408688965884
47,0.6809637278263172,0.89711328742047736
48,0.6875827376224517,0.9103978356262159
49,0.68069896743447178,0.90972068242241477
