epoch,acc,loss,val_acc,val_loss
0,0.25770122562073922,2.0070797548107691,0.32058047501267106,1.8441088907322343
1,0.44749917197045841,1.6609273298799931,0.32453825865383201,1.9397500074004121
2,0.51705862876396769,1.4730389028560567,0.50923482865331038,1.5196883052508876
3,0.55316329906617778,1.324899515003193,0.6108179419525066,1.2785479931214869
4,0.59489897321928176,1.2350178351659733,0.65039577844275021,1.161020991355574
5,0.62239152043021329,1.1160825779596755,0.66622691308602811,1.1055884704111749
6,0.64789665460033741,1.0587013268281229,0.67678100263852248,1.0364488209143163
7,0.66777078510712773,0.98854904101360075,0.73218997377204387,0.91039777777125774
8,0.68631997346167295,0.93785912890274736,0.72295514527600169,0.84257322345371299
9,0.7101689300895645,0.8860722477959655,0.77704485503853471,0.74249501105663329
10,0.72772441201748617,0.83548775845388978,0.76517150395778366,0.75478272776962274
11,0.73898641934415366,0.78308584141036297,0.79155672823218992,0.75060348908630714
12,0.75720437228896831,0.74008365890054995,0.82585751963164999,0.62853381265750974
13,0.76747267316926904,0.71989454254483343,0.81266490765171506,0.66286807646852053
14,0.77376614771129359,0.68872344738681335,0.82321899736147752,0.66436021875265716
15,0.77707850289447455,0.68466962981042423,0.84828496026489542,0.66779367244337984
16,0.7890029810998328,0.62578008355743719,0.8496042214786157,0.55269662764581973
17,0.80854587609817663,0.59237629119905266,0.84564643799472294,0.55473150678549088
18,0.81848294145028766,0.56324445391854294,0.81794195250659629,0.63042818163189851
19,0.82808877109652046,0.53504889433492131,0.85092348284960417,0.55087092560089357
20,0.83537595238105944,0.50838958958435942,0.87730870712401055,0.46360934107001667
21,0.84398807552169597,0.49785447823523526,0.8733509233255814,0.40398781634572312
22,0.84431931103014246,0.48268108776208779,0.88258575182162358,0.4623700658690017
23,0.84166942704154313,0.48599636088779091,0.87598944575302207,0.46462101286822699
24,0.85823120246386841,0.44852879265358447,0.88522427440633245,0.43845606569721707
25,0.85491884726094425,0.4389157375186909,0.90105540897097625,0.40853393105372277
26,0.86651209019477415,0.41744655183152118,0.90765171488230967,0.3388578523746581
27,0.86452467714409509,0.40314770079519863,0.90237467018469653,0.45803657645914991
28,0.87148062268326953,0.40063211407713561,0.89577836411609502,0.45865783763749618
29,0.87247432934681124,0.38868580773872585,0.89050131941848187,0.4297871265688169
30,0.8784365683803893,0.37323282076136566,0.89709762548708349,0.3365586071341522
31,0.88771116261689142,0.34010439135847442,0.91556728232189977,0.39669722128944535
32,0.88572374966492828,0.35040541268137365,0.92480211081794195,0.30514881520047982
33,0.88307386561709944,0.34599321931551213,0.91556728216463157,0.29716496189225633
34,0.9046041735476632,0.30144441075457684,0.91688654353562005,0.28765876536161727
35,0.90294799600543074,0.32339936838358513,0.91160949868073882,0.34618631169558711
36,0.90096058297449488,0.30274904809544206,0.92480211066067375,0.27503507311079939
37,0.90592911560119249,0.30025393445737003,0.91424802110817938,0.29718304598472994
38,0.90692282222524789,0.27931588755395487,0.94195250659630603,0.24494078102715727
39,0.9102351771912538,0.27858106052097636,0.9366754615841566,0.24750124849870525
40,0.8429943690753291,0.45452077420747372,0.78100263836515926,0.70972092736679515
41,0.84266313356688261,0.47062142330038897,0.89182058047493407,0.36465694246160008
