epoch,acc,loss,val_acc,val_loss
0,0.46439218287161543,1.5580181156258268,0.52638522435304047,1.4528948210160146
1,0.53461411069188935,1.3977278504161577,0.52902374654457873,1.3281163689643538
2,0.55283206355773129,1.292334857347115,0.58839050131926118,1.2144874390951876
3,0.58959920511375241,1.1863500255747084,0.54221635899631837,1.236324946295303
4,0.6104670420471664,1.1078121103210614,0.57651715039577833,1.154261661079125
5,0.63166611468645861,1.0408402134069903,0.66226912944486716,0.98700421152140028
6,0.65783371987347572,0.95286446438596994,0.68733509219101674,0.8420418253989207
7,0.68698244447856593,0.86856168202510453,0.70448548828391722,0.78742046548068367
8,0.71381252068247614,0.81939293555212001,0.69920844311449959,0.8030709427705226
9,0.73401788681617197,0.74117974465593828,0.78496042200632021,0.64436656079380372
10,0.76349784704816781,0.68961028720654172,0.79287598944591031,0.59292915347462283
11,0.78005962249023619,0.64211207326179542,0.72823218981634663,0.83680482566513925
12,0.79993375299702663,0.58812595649680066,0.83245382570025162,0.50478407937178194
13,0.81450811525021372,0.52775066013010818,0.87730870728127874,0.36714659155516011
14,0.83703212982457609,0.49963924939287307,0.87862796833773082,0.40155819946983556
15,0.8482941372104732,0.46558901321102192,0.84828496042216361,0.45684424184243094
